user           client         df             1              
user           passd          peof           1              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
w              e              1              0              
wer            wers           ws             1              
user           user           user           1              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
er             er             er             0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
w              e              w              0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
22             3              4sd            0              
we             er             we             2              
user           ser            sdf            2              
wer            wes            fds            1              
wer            tfd            sdf            2              
w              e              s              2              
df             sd             a              1              
sd             fd             sd             2              
sd             fd             ds             2              
we             d              s              1              
we             ds             dc             1              
we             rd             s              1              
we             re             we             0              
